,birth,household,id,age,routine_id,sex_F,sex_M,appliance_id_1,appliance_id_2,appliance_id_3,appliance_id_4,appliance_id_5,appliance_id_6,appliance_id_7,appliance_id_8,appliance_id_9
0,19960221,2,1,26.0,41,0,1,1,0,0,0,0,1,0,0,0
1,19960221,2,1,26.0,33,0,1,0,0,0,0,0,1,0,0,0
2,19960221,2,1,26.0,40,0,1,1,0,0,0,1,0,0,0,0
3,19960221,2,1,26.0,96,0,1,0,0,0,1,0,1,0,0,0
4,19960221,2,1,26.0,73,0,1,0,1,1,0,0,0,0,1,0
5,19761025,1,2,46.0,66,0,1,0,0,0,0,1,0,0,0,1
6,19761025,1,2,46.0,74,0,1,0,0,0,0,0,0,1,1,0
7,19761025,1,2,46.0,76,0,1,0,0,0,1,1,0,0,0,1
8,19761025,1,2,46.0,30,0,1,0,0,1,0,0,0,0,0,0
9,19761025,1,2,46.0,81,0,1,1,0,0,0,0,1,0,1,0
10,19820722,1,3,40.0,31,0,1,0,0,0,1,0,0,0,0,0
11,19820722,1,3,40.0,49,0,1,0,1,0,0,0,0,1,0,0
12,19820722,1,3,40.0,94,0,1,0,1,0,0,0,0,1,0,0
13,19820722,1,3,40.0,28,0,1,1,0,0,0,0,0,0,0,0
14,19820722,1,3,40.0,56,0,1,0,0,1,0,0,0,0,1,0
15,19480501,1,4,74.0,44,0,1,1,0,0,0,0,0,0,0,1
16,19480501,1,4,74.0,27,0,1,0,0,0,0,0,0,1,1,0
17,19480501,1,4,74.0,70,0,1,0,0,0,0,0,0,1,1,0
18,19480501,1,4,74.0,89,0,1,1,0,0,0,1,0,0,0,0
19,19480501,1,4,74.0,49,0,1,0,1,0,0,0,0,1,0,0
20,19881215,2,5,34.0,70,0,1,0,0,0,0,0,0,1,1,0
21,19881215,2,5,34.0,97,0,1,0,0,0,1,0,0,1,0,0
22,19881215,2,5,34.0,68,0,1,0,0,0,0,0,1,0,1,0
23,19881215,2,5,34.0,28,0,1,1,0,0,0,0,0,0,0,0
24,19881215,2,5,34.0,72,0,1,0,0,0,0,0,0,0,1,1
