,birth,household,id,age,routine_id,sex_F,sex_M,appliance_1,appliance_2,appliance_3,appliance_4,appliance_5,appliance_6,appliance_7,appliance_8,appliance_9
0,19960221,2,1,26.0,85,0,1,0,1,0,0,1,0,1,0,0
1,19960221,2,1,26.0,130,0,1,1,1,1,0,1,0,0,0,0
2,19960221,2,1,26.0,172,0,1,1,0,0,1,0,0,1,1,0
3,19960221,2,1,26.0,64,0,1,1,0,0,0,1,0,1,0,0
4,19960221,2,1,26.0,68,0,1,1,0,0,0,0,1,0,1,0
5,19761025,1,2,46.0,131,0,1,1,1,1,0,0,1,0,0,0
6,19761025,1,2,46.0,190,0,1,0,1,1,0,1,1,0,0,0
7,19761025,1,2,46.0,204,0,1,0,1,0,1,0,1,1,0,0
8,19761025,1,2,46.0,11,0,1,1,0,0,1,0,0,0,0,0
9,19761025,1,2,46.0,135,0,1,1,1,0,1,1,0,0,0,0
10,19820722,1,3,40.0,165,0,1,1,0,0,1,1,1,0,0,0
11,19820722,1,3,40.0,68,0,1,1,0,0,0,0,1,0,1,0
12,19820722,1,3,40.0,137,0,1,1,1,0,1,0,0,1,0,0
13,19820722,1,3,40.0,43,0,1,0,0,0,0,0,0,1,0,1
14,19820722,1,3,40.0,212,0,1,0,1,0,0,1,1,0,0,1
15,19480501,1,4,74.0,238,0,1,0,0,1,0,0,1,0,1,1
16,19480501,1,4,74.0,94,0,1,0,0,1,1,1,0,0,0,0
17,19480501,1,4,74.0,63,0,1,1,0,0,0,1,1,0,0,0
18,19480501,1,4,74.0,193,0,1,0,1,1,0,1,0,0,0,1
19,19480501,1,4,74.0,98,0,1,0,0,1,1,0,0,0,0,1
20,19881215,2,5,34.0,187,0,1,0,1,1,1,0,0,1,0,0
21,19881215,2,5,34.0,168,0,1,1,0,0,1,1,0,0,0,1
22,19881215,2,5,34.0,227,0,1,0,0,1,1,0,0,1,1,0
23,19881215,2,5,34.0,98,0,1,0,0,1,1,0,0,0,0,1
24,19881215,2,5,34.0,88,0,1,0,1,0,0,0,1,1,0,0
25,19581221,4,6,64.0,248,0,1,0,0,0,1,0,1,0,1,1
26,19581221,4,6,64.0,184,0,1,1,0,0,0,0,0,1,1,1
27,19581221,4,6,64.0,91,0,1,0,1,0,0,0,0,1,1,0
28,19581221,4,6,64.0,99,0,1,0,0,1,0,1,1,0,0,0
29,19581221,4,6,64.0,87,0,1,0,1,0,0,1,0,0,0,1
30,19850715,4,7,37.0,89,0,1,0,1,0,0,0,1,0,1,0
31,19850715,4,7,37.0,101,0,1,0,0,1,0,1,0,0,1,0
32,19850715,4,7,37.0,73,0,1,0,1,1,1,0,0,0,0,0
33,19850715,4,7,37.0,179,0,1,1,0,0,0,1,0,1,0,1
34,19850715,4,7,37.0,110,0,1,0,0,0,1,1,0,1,0,0
35,19601124,1,8,62.0,199,0,1,0,1,1,0,0,0,0,1,1
36,19601124,1,8,62.0,64,0,1,1,0,0,0,1,0,1,0,0
37,19601124,1,8,62.0,242,0,1,0,0,0,1,1,1,0,0,1
38,19601124,1,8,62.0,135,0,1,1,1,0,1,1,0,0,0,0
39,19601124,1,8,62.0,40,0,1,0,0,0,0,0,1,0,1,0
40,19671215,4,9,55.0,188,0,1,0,1,1,1,0,0,0,1,0
41,19671215,4,9,55.0,138,0,1,1,1,0,1,0,0,0,1,0
42,19671215,4,9,55.0,192,0,1,0,1,1,0,1,0,0,1,0
43,19671215,4,9,55.0,47,0,1,1,1,0,0,1,0,0,0,0
44,19671215,4,9,55.0,147,0,1,1,1,0,0,0,0,1,1,0
45,19640414,1,10,58.0,8,0,1,0,0,0,0,0,0,0,0,1
46,19640414,1,10,58.0,154,0,1,1,0,1,1,0,0,0,0,1
47,19640414,1,10,58.0,239,0,1,0,0,1,0,0,0,1,1,1
48,19640414,1,10,58.0,230,0,1,0,0,1,0,1,1,1,0,0
49,19640414,1,10,58.0,199,0,1,0,1,1,0,0,0,0,1,1
50,19890509,3,11,33.0,224,0,1,0,0,1,1,0,1,1,0,0
51,19890509,3,11,33.0,15,0,1,1,0,0,0,0,0,0,1,0
52,19890509,3,11,33.0,53,0,1,1,0,1,0,1,0,0,0,0
53,19890509,3,11,33.0,96,0,1,0,0,1,1,0,0,1,0,0
54,19890509,3,11,33.0,188,0,1,0,1,1,1,0,0,0,1,0
55,19951027,5,12,27.0,183,0,1,1,0,0,0,0,1,0,1,1
56,19951027,5,12,27.0,109,0,1,0,0,0,1,1,1,0,0,0
57,19951027,5,12,27.0,117,0,1,0,0,0,1,0,0,1,0,1
58,19951027,5,12,27.0,166,0,1,1,0,0,1,1,0,1,0,0
59,19951027,5,12,27.0,88,0,1,0,1,0,0,0,1,1,0,0
60,19530521,1,13,69.0,109,0,1,0,0,0,1,1,1,0,0,0
61,19530521,1,13,69.0,24,0,1,0,0,1,1,0,0,0,0,0
62,19530521,1,13,69.0,74,0,1,0,1,1,0,1,0,0,0,0
63,19530521,1,13,69.0,122,0,1,0,0,0,0,1,0,1,1,0
64,19530521,1,13,69.0,228,0,1,0,0,1,1,0,0,1,0,1
65,19660501,1,14,56.0,237,0,1,0,0,1,0,0,1,1,0,1
66,19660501,1,14,56.0,90,0,1,0,1,0,0,0,1,0,0,1
67,19660501,1,14,56.0,197,0,1,0,1,1,0,0,0,1,1,0
68,19660501,1,14,56.0,219,0,1,0,1,0,0,0,0,1,1,1
69,19660501,1,14,56.0,48,0,1,1,1,0,0,0,1,0,0,0
70,19820623,3,15,40.0,26,0,1,0,0,1,0,0,1,0,0,0
71,19820623,3,15,40.0,120,0,1,0,0,0,0,1,1,0,1,0
72,19820623,3,15,40.0,208,0,1,0,1,0,1,0,0,1,0,1
73,19820623,3,15,40.0,30,0,1,0,0,0,1,1,0,0,0,0
74,19820623,3,15,40.0,6,0,1,0,0,0,0,0,0,1,0,0
75,19491217,1,16,73.0,180,0,1,1,0,0,0,1,0,0,1,1
76,19491217,1,16,73.0,60,0,1,1,0,0,1,0,0,1,0,0
77,19491217,1,16,73.0,47,0,1,1,1,0,0,1,0,0,0,0
78,19491217,1,16,73.0,9,0,1,1,1,0,0,0,0,0,0,0
79,19491217,1,16,73.0,20,0,1,0,1,0,0,0,1,0,0,0
80,19490923,3,17,73.0,236,0,1,0,0,1,0,0,1,1,1,0
81,19490923,3,17,73.0,4,0,1,0,0,0,0,1,0,0,0,0
82,19490923,3,17,73.0,175,0,1,1,0,0,0,1,1,1,0,0
83,19490923,3,17,73.0,217,0,1,0,1,0,0,0,1,1,0,1
84,19490923,3,17,73.0,231,0,1,0,0,1,0,1,1,0,1,0
85,19600114,2,18,62.0,192,0,1,0,1,1,0,1,0,0,1,0
86,19600114,2,18,62.0,26,0,1,0,0,1,0,0,1,0,0,0
87,19600114,2,18,62.0,150,0,1,1,0,1,1,1,0,0,0,0
88,19600114,2,18,62.0,27,0,1,0,0,1,0,0,0,1,0,0
89,19600114,2,18,62.0,91,0,1,0,1,0,0,0,0,1,1,0
90,19641107,4,19,58.0,120,0,1,0,0,0,0,1,1,0,1,0
91,19641107,4,19,58.0,121,0,1,0,0,0,0,1,1,0,0,1
92,19641107,4,19,58.0,123,0,1,0,0,0,0,1,0,1,0,1
93,19641107,4,19,58.0,205,0,1,0,1,0,1,0,1,0,1,0
94,19641107,4,19,58.0,18,0,1,0,1,0,1,0,0,0,0,0
95,20011126,5,20,21.0,159,0,1,1,0,1,0,0,1,1,0,0
96,20011126,5,20,21.0,160,0,1,1,0,1,0,0,1,0,1,0
97,20011126,5,20,21.0,226,0,1,0,0,1,1,0,1,0,0,1
98,20011126,5,20,21.0,132,0,1,1,1,1,0,0,0,1,0,0
99,20011126,5,20,21.0,215,0,1,0,1,0,0,1,0,0,1,1
100,19920730,2,21,30.0,217,0,1,0,1,0,0,0,1,1,0,1
101,19920730,2,21,30.0,57,0,1,1,0,1,0,0,0,0,0,1
102,19920730,2,21,30.0,227,0,1,0,0,1,1,0,0,1,1,0
103,19920730,2,21,30.0,177,0,1,1,0,0,0,1,1,0,0,1
104,19920730,2,21,30.0,135,0,1,1,1,0,1,1,0,0,0,0
105,19490202,1,22,73.0,100,0,1,0,0,1,0,1,0,1,0,0
106,19490202,1,22,73.0,243,0,1,0,0,0,1,1,0,1,1,0
107,19490202,1,22,73.0,147,0,1,1,1,0,0,0,0,1,1,0
108,19490202,1,22,73.0,209,0,1,0,1,0,1,0,0,0,1,1
109,19490202,1,22,73.0,230,0,1,0,0,1,0,1,1,1,0,0
110,19930122,3,23,29.0,232,0,1,0,0,1,0,1,1,0,0,1
111,19930122,3,23,29.0,147,0,1,1,1,0,0,0,0,1,1,0
112,19930122,3,23,29.0,56,0,1,1,0,1,0,0,0,0,1,0
113,19930122,3,23,29.0,88,0,1,0,1,0,0,0,1,1,0,0
114,19930122,3,23,29.0,175,0,1,1,0,0,0,1,1,1,0,0
115,19850928,4,24,37.0,247,0,1,0,0,0,1,0,1,1,0,1
116,19850928,4,24,37.0,60,0,1,1,0,0,1,0,0,1,0,0
117,19850928,4,24,37.0,194,0,1,0,1,1,0,0,1,1,0,0
118,19850928,4,24,37.0,80,0,1,0,1,0,1,0,1,0,0,0
119,19850928,4,24,37.0,29,0,1,0,0,1,0,0,0,0,0,1
120,19640615,3,25,58.0,80,0,1,0,1,0,1,0,1,0,0,0
121,19640615,3,25,58.0,184,0,1,1,0,0,0,0,0,1,1,1
122,19640615,3,25,58.0,22,0,1,0,1,0,0,0,0,0,1,0
123,19640615,3,25,58.0,60,0,1,1,0,0,1,0,0,1,0,0
124,19640615,3,25,58.0,35,0,1,0,0,0,0,1,1,0,0,0
125,19510326,3,26,71.0,173,0,1,1,0,0,1,0,0,1,0,1
126,19510326,3,26,71.0,131,0,1,1,1,1,0,0,1,0,0,0
127,19510326,3,26,71.0,246,0,1,0,0,0,1,0,1,1,1,0
128,19510326,3,26,71.0,53,0,1,1,0,1,0,1,0,0,0,0
129,19510326,3,26,71.0,69,0,1,1,0,0,0,0,1,0,0,1
130,19580807,3,27,64.0,43,0,1,0,0,0,0,0,0,1,0,1
131,19580807,3,27,64.0,9,0,1,1,1,0,0,0,0,0,0,0
132,19580807,3,27,64.0,119,0,1,0,0,0,0,1,1,1,0,0
133,19580807,3,27,64.0,194,0,1,0,1,1,0,0,1,1,0,0
134,19580807,3,27,64.0,87,0,1,0,1,0,0,1,0,0,0,1
135,19690205,4,28,53.0,15,0,1,1,0,0,0,0,0,0,1,0
136,19690205,4,28,53.0,174,0,1,1,0,0,1,0,0,0,1,1
137,19690205,4,28,53.0,215,0,1,0,1,0,0,1,0,0,1,1
138,19690205,4,28,53.0,158,0,1,1,0,1,0,1,0,0,0,1
139,19690205,4,28,53.0,241,0,1,0,0,0,1,1,1,0,1,0
140,19581019,3,29,64.0,74,0,1,0,1,1,0,1,0,0,0,0
141,19581019,3,29,64.0,77,0,1,0,1,1,0,0,0,0,1,0
142,19581019,3,29,64.0,29,0,1,0,0,1,0,0,0,0,0,1
143,19581019,3,29,64.0,238,0,1,0,0,1,0,0,1,0,1,1
144,19581019,3,29,64.0,168,0,1,1,0,0,1,1,0,0,0,1
145,19610211,1,30,61.0,76,0,1,0,1,1,0,0,0,1,0,0
146,19610211,1,30,61.0,123,0,1,0,0,0,0,1,0,1,0,1
147,19610211,1,30,61.0,238,0,1,0,0,1,0,0,1,0,1,1
148,19610211,1,30,61.0,95,0,1,0,0,1,1,0,1,0,0,0
149,19610211,1,30,61.0,212,0,1,0,1,0,0,1,1,0,0,1
150,19650917,4,31,57.0,16,0,1,1,0,0,0,0,0,0,0,1
151,19650917,4,31,57.0,177,0,1,1,0,0,0,1,1,0,0,1
152,19650917,4,31,57.0,239,0,1,0,0,1,0,0,0,1,1,1
153,19650917,4,31,57.0,188,0,1,0,1,1,1,0,0,0,1,0
154,19650917,4,31,57.0,182,0,1,1,0,0,0,0,1,1,0,1
155,19830506,3,32,39.0,62,0,1,1,0,0,1,0,0,0,0,1
156,19830506,3,32,39.0,87,0,1,0,1,0,0,1,0,0,0,1
157,19830506,3,32,39.0,173,0,1,1,0,0,1,0,0,1,0,1
158,19830506,3,32,39.0,156,0,1,1,0,1,0,1,0,1,0,0
159,19830506,3,32,39.0,191,0,1,0,1,1,0,1,0,1,0,0
160,19871206,2,33,35.0,191,0,1,0,1,1,0,1,0,1,0,0
161,19871206,2,33,35.0,248,0,1,0,0,0,1,0,1,0,1,1
162,19871206,2,33,35.0,132,0,1,1,1,1,0,0,0,1,0,0
163,19871206,2,33,35.0,184,0,1,1,0,0,0,0,0,1,1,1
164,19871206,2,33,35.0,229,0,1,0,0,1,1,0,0,0,1,1
165,19941219,2,34,28.0,250,0,1,0,0,0,0,1,1,1,1,0
166,19941219,2,34,28.0,186,0,1,0,1,1,1,0,1,0,0,0
167,19941219,2,34,28.0,212,0,1,0,1,0,0,1,1,0,0,1
168,19941219,2,34,28.0,191,0,1,0,1,1,0,1,0,1,0,0
169,19941219,2,34,28.0,78,0,1,0,1,1,0,0,0,0,0,1
170,19571011,1,35,65.0,127,0,1,0,0,0,0,0,1,0,1,1
171,19571011,1,35,65.0,196,0,1,0,1,1,0,0,1,0,0,1
172,19571011,1,35,65.0,191,0,1,0,1,1,0,1,0,1,0,0
173,19571011,1,35,65.0,148,0,1,1,1,0,0,0,0,1,0,1
174,19571011,1,35,65.0,3,0,1,0,0,0,1,0,0,0,0,0
175,19800106,2,36,42.0,220,0,1,0,0,1,1,1,1,0,0,0
176,19800106,2,36,42.0,185,0,1,0,1,1,1,1,0,0,0,0
177,19800106,2,36,42.0,48,0,1,1,1,0,0,0,1,0,0,0
178,19800106,2,36,42.0,81,0,1,0,1,0,1,0,0,1,0,0
179,19800106,2,36,42.0,55,0,1,1,0,1,0,0,0,1,0,0
180,19950806,3,37,27.0,1,0,1,0,1,0,0,0,0,0,0,0
181,19950806,3,37,27.0,247,0,1,0,0,0,1,0,1,1,0,1
182,19950806,3,37,27.0,45,0,1,1,1,1,0,0,0,0,0,0
183,19950806,3,37,27.0,127,0,1,0,0,0,0,0,1,0,1,1
184,19950806,3,37,27.0,132,0,1,1,1,1,0,0,0,1,0,0
185,19880227,3,38,34.0,193,0,1,0,1,1,0,1,0,0,0,1
186,19880227,3,38,34.0,183,0,1,1,0,0,0,0,1,0,1,1
187,19880227,3,38,34.0,114,0,1,0,0,0,1,0,1,0,1,0
188,19880227,3,38,34.0,215,0,1,0,1,0,0,1,0,0,1,1
189,19880227,3,38,34.0,218,0,1,0,1,0,0,0,1,0,1,1
190,19560529,4,39,66.0,178,0,1,1,0,0,0,1,0,1,1,0
191,19560529,4,39,66.0,224,0,1,0,0,1,1,0,1,1,0,0
192,19560529,4,39,66.0,136,0,1,1,1,0,1,0,1,0,0,0
193,19560529,4,39,66.0,77,0,1,0,1,1,0,0,0,0,1,0
194,19560529,4,39,66.0,119,0,1,0,0,0,0,1,1,1,0,0
195,19590503,2,40,63.0,147,0,1,1,1,0,0,0,0,1,1,0
196,19590503,2,40,63.0,4,0,1,0,0,0,0,1,0,0,0,0
197,19590503,2,40,63.0,86,0,1,0,1,0,0,1,0,0,1,0
198,19590503,2,40,63.0,73,0,1,0,1,1,1,0,0,0,0,0
199,19590503,2,40,63.0,30,0,1,0,0,0,1,1,0,0,0,0
200,19850618,3,41,37.0,64,0,1,1,0,0,0,1,0,1,0,0
201,19850618,3,41,37.0,58,0,1,1,0,0,1,1,0,0,0,0
202,19850618,3,41,37.0,249,0,1,0,0,0,1,0,0,1,1,1
203,19850618,3,41,37.0,46,0,1,1,1,0,1,0,0,0,0,0
204,19850618,3,41,37.0,178,0,1,1,0,0,0,1,0,1,1,0
205,19720522,1,42,50.0,107,0,1,0,0,1,0,0,0,1,0,1
206,19720522,1,42,50.0,152,0,1,1,0,1,1,0,0,1,0,0
207,19720522,1,42,50.0,244,0,1,0,0,0,1,1,0,1,0,1
208,19720522,1,42,50.0,42,0,1,0,0,0,0,0,0,1,1,0
209,19720522,1,42,50.0,40,0,1,0,0,0,0,0,1,0,1,0
210,19910403,4,43,31.0,238,0,1,0,0,1,0,0,1,0,1,1
211,19910403,4,43,31.0,49,0,1,1,1,0,0,0,0,1,0,0
212,19910403,4,43,31.0,139,0,1,1,1,0,1,0,0,0,0,1
213,19910403,4,43,31.0,217,0,1,0,1,0,0,0,1,1,0,1
214,19910403,4,43,31.0,12,0,1,1,0,0,0,1,0,0,0,0
215,19620710,2,44,60.0,194,0,1,0,1,1,0,0,1,1,0,0
216,19620710,2,44,60.0,105,0,1,0,0,1,0,0,1,0,0,1
217,19620710,2,44,60.0,171,0,1,1,0,0,1,0,1,0,0,1
218,19620710,2,44,60.0,57,0,1,1,0,1,0,0,0,0,0,1
219,19620710,2,44,60.0,217,0,1,0,1,0,0,0,1,1,0,1
220,19540110,1,45,68.0,16,0,1,1,0,0,0,0,0,0,0,1
221,19540110,1,45,68.0,52,0,1,1,0,1,1,0,0,0,0,0
222,19540110,1,45,68.0,109,0,1,0,0,0,1,1,1,0,0,0
223,19540110,1,45,68.0,32,0,1,0,0,0,1,0,0,1,0,0
224,19540110,1,45,68.0,9,0,1,1,1,0,0,0,0,0,0,0
225,19641124,2,46,58.0,177,0,1,1,0,0,0,1,1,0,0,1
226,19641124,2,46,58.0,252,0,1,0,0,0,0,1,1,0,1,1
227,19641124,2,46,58.0,168,0,1,1,0,0,1,1,0,0,0,1
228,19641124,2,46,58.0,128,0,1,0,0,0,0,0,0,1,1,1
229,19641124,2,46,58.0,115,0,1,0,0,0,1,0,1,0,0,1
230,19810707,4,47,41.0,233,0,1,0,0,1,0,1,0,1,1,0
231,19810707,4,47,41.0,246,0,1,0,0,0,1,0,1,1,1,0
232,19810707,4,47,41.0,32,0,1,0,0,0,1,0,0,1,0,0
233,19810707,4,47,41.0,56,0,1,1,0,1,0,0,0,0,1,0
234,19810707,4,47,41.0,195,0,1,0,1,1,0,0,1,0,1,0
235,19960426,1,48,26.0,249,0,1,0,0,0,1,0,0,1,1,1
236,19960426,1,48,26.0,95,0,1,0,0,1,1,0,1,0,0,0
237,19960426,1,48,26.0,186,0,1,0,1,1,1,0,1,0,0,0
238,19960426,1,48,26.0,238,0,1,0,0,1,0,0,1,0,1,1
239,19960426,1,48,26.0,120,0,1,0,0,0,0,1,1,0,1,0
240,19631127,2,49,59.0,182,0,1,1,0,0,0,0,1,1,0,1
241,19631127,2,49,59.0,82,0,1,0,1,0,1,0,0,0,1,0
242,19631127,2,49,59.0,199,0,1,0,1,1,0,0,0,0,1,1
243,19631127,2,49,59.0,194,0,1,0,1,1,0,0,1,1,0,0
244,19631127,2,49,59.0,175,0,1,1,0,0,0,1,1,1,0,0
245,19860301,1,50,36.0,26,0,1,0,0,1,0,0,1,0,0,0
246,19860301,1,50,36.0,29,0,1,0,0,1,0,0,0,0,0,1
247,19860301,1,50,36.0,247,0,1,0,0,0,1,0,1,1,0,1
248,19860301,1,50,36.0,182,0,1,1,0,0,0,0,1,1,0,1
249,19860301,1,50,36.0,235,0,1,0,0,1,0,1,0,0,1,1
250,19710720,3,51,51.0,30,0,1,0,0,0,1,1,0,0,0,0
251,19710720,3,51,51.0,159,0,1,1,0,1,0,0,1,1,0,0
252,19710720,3,51,51.0,98,0,1,0,0,1,1,0,0,0,0,1
253,19710720,3,51,51.0,205,0,1,0,1,0,1,0,1,0,1,0
254,19710720,3,51,51.0,247,0,1,0,0,0,1,0,1,1,0,1
255,19710308,1,52,51.0,251,0,1,0,0,0,0,1,1,1,0,1
256,19710308,1,52,51.0,161,0,1,1,0,1,0,0,1,0,0,1
257,19710308,1,52,51.0,6,0,1,0,0,0,0,0,0,1,0,0
258,19710308,1,52,51.0,49,0,1,1,1,0,0,0,0,1,0,0
259,19710308,1,52,51.0,190,0,1,0,1,1,0,1,1,0,0,0
260,20000826,3,53,22.0,158,0,1,1,0,1,0,1,0,0,0,1
261,20000826,3,53,22.0,39,0,1,0,0,0,0,0,1,1,0,0
262,20000826,3,53,22.0,167,0,1,1,0,0,1,1,0,0,1,0
263,20000826,3,53,22.0,234,0,1,0,0,1,0,1,0,1,0,1
264,20000826,3,53,22.0,141,0,1,1,1,0,0,1,0,1,0,0
265,19560220,2,54,66.0,68,0,1,1,0,0,0,0,1,0,1,0
266,19560220,2,54,66.0,177,0,1,1,0,0,0,1,1,0,0,1
267,19560220,2,54,66.0,113,0,1,0,0,0,1,0,1,1,0,0
268,19560220,2,54,66.0,193,0,1,0,1,1,0,1,0,0,0,1
269,19560220,2,54,66.0,4,0,1,0,0,0,0,1,0,0,0,0
270,19630904,2,55,59.0,93,0,1,0,1,0,0,0,0,0,1,1
271,19630904,2,55,59.0,190,0,1,0,1,1,0,1,1,0,0,0
272,19630904,2,55,59.0,181,0,1,1,0,0,0,0,1,1,1,0
273,19630904,2,55,59.0,230,0,1,0,0,1,0,1,1,1,0,0
274,19630904,2,55,59.0,206,0,1,0,1,0,1,0,1,0,0,1
275,19910220,2,56,31.0,101,0,1,0,0,1,0,1,0,0,1,0
276,19910220,2,56,31.0,168,0,1,1,0,0,1,1,0,0,0,1
277,19910220,2,56,31.0,20,0,1,0,1,0,0,0,1,0,0,0
278,19910220,2,56,31.0,209,0,1,0,1,0,1,0,0,0,1,1
279,19910220,2,56,31.0,167,0,1,1,0,0,1,1,0,0,1,0
280,19760721,3,57,46.0,62,0,1,1,0,0,1,0,0,0,0,1
281,19760721,3,57,46.0,39,0,1,0,0,0,0,0,1,1,0,0
282,19760721,3,57,46.0,85,0,1,0,1,0,0,1,0,1,0,0
283,19760721,3,57,46.0,148,0,1,1,1,0,0,0,0,1,0,1
284,19760721,3,57,46.0,239,0,1,0,0,1,0,0,0,1,1,1
285,19561128,1,58,66.0,52,0,1,1,0,1,1,0,0,0,0,0
286,19561128,1,58,66.0,14,0,1,1,0,0,0,0,0,1,0,0
287,19561128,1,58,66.0,238,0,1,0,0,1,0,0,1,0,1,1
288,19561128,1,58,66.0,48,0,1,1,1,0,0,0,1,0,0,0
289,19561128,1,58,66.0,23,0,1,0,1,0,0,0,0,0,0,1
290,19711031,1,59,51.0,214,0,1,0,1,0,0,1,0,1,0,1
291,19711031,1,59,51.0,85,0,1,0,1,0,0,1,0,1,0,0
292,19711031,1,59,51.0,161,0,1,1,0,1,0,0,1,0,0,1
293,19711031,1,59,51.0,41,0,1,0,0,0,0,0,1,0,0,1
