,appliance_id,appliance_name,routine_id,user_id
0,4,Washing Machine,0,
1,6,Robot Cleaner,0,
2,8,Air Cleaner,0,
3,2,Electronic Range,1,
4,3,Light Oven,1,
5,8,Air Cleaner,1,
6,7,Air Conditioner,2,
7,8,Air Cleaner,2,
8,4,Washing Machine,3,
9,5,Dryer,3,
10,9,Styler,3,
11,1,TV,4,
12,7,Air Conditioner,4,
13,1,TV,5,
14,4,Washing Machine,5,
15,6,Robot Cleaner,5,
16,8,Air Cleaner,5,
17,1,TV,6,
18,2,Electronic Range,6,
19,3,Light Oven,6,
20,8,Air Cleaner,6,
21,1,TV,7,
22,6,Robot Cleaner,7,
23,8,Air Cleaner,7,
24,1,TV,8,
25,7,Air Conditioner,8,
26,9,Styler,8,
27,1,TV,9,
28,7,Air Conditioner,9,
29,8,Air Cleaner,9,
30,1,TV,10,
31,2,Electronic Range,10,
32,7,Air Conditioner,10,
33,8,Air Cleaner,10,
34,1,TV,11,
35,3,Light Oven,11,
36,7,Air Conditioner,11,
37,8,Air Cleaner,11,
38,1,TV,12,
39,4,Washing Machine,12,
40,6,Robot Cleaner,12,
41,3,Light Oven,13,
42,8,Air Cleaner,13,
43,3,Light Oven,14,
44,8,Air Cleaner,14,
45,4,Washing Machine,15,
46,5,Dryer,15,
47,9,Styler,15,
48,4,Washing Machine,16,
49,5,Dryer,16,
50,9,Styler,16,
51,4,Washing Machine,17,
52,5,Dryer,17,
53,6,Robot Cleaner,18,
54,8,Air Cleaner,18,
55,6,Robot Cleaner,19,
56,8,Air Cleaner,19,
57,4,Washing Machine,20,
58,6,Robot Cleaner,20,
59,9,Styler,20,
60,4,Washing Machine,21,
61,6,Robot Cleaner,21,
62,9,Styler,21,
63,4,Washing Machine,22,
64,5,Dryer,22,
65,2,Electronic Range,23,
66,3,Light Oven,23,
67,8,Air Cleaner,23,
68,2,Electronic Range,24,
69,3,Light Oven,24,
70,8,Air Cleaner,24,
71,2,Electronic Range,25,
72,3,Light Oven,25,
73,8,Air Cleaner,25,
74,6,Robot Cleaner,26,
75,8,Air Cleaner,26,
76,7,Air Conditioner,27,
77,8,Air Cleaner,27,
78,1,TV,28,
79,2,Electronic Range,29,
80,3,Light Oven,30,
81,4,Washing Machine,31,
82,5,Dryer,32,
83,6,Robot Cleaner,33,
84,7,Air Conditioner,34,
85,8,Air Cleaner,35,
86,9,Styler,36,
87,1,TV,37,
88,2,Electronic Range,37,
89,1,TV,38,
90,3,Light Oven,38,
91,1,TV,39,
92,4,Washing Machine,39,
93,1,TV,40,
94,5,Dryer,40,
95,1,TV,41,
96,6,Robot Cleaner,41,
97,1,TV,42,
98,7,Air Conditioner,42,
99,1,TV,43,
100,8,Air Cleaner,43,
101,1,TV,44,
102,9,Styler,44,
103,2,Electronic Range,45,
